rc_number,location,fir_date,pdf_url
RC0252026A0009,,,https://cbi.gov.in/download/L2Fzc2V0cy9maWxlcy9maXIvMTIyMDgxMjY0N0ZJUiBpbiBSQyAwOShBKS0yMDI2LUQucGRm
RC2182025A0017,,,https://cbi.gov.in/download/L2Fzc2V0cy9maWxlcy9maXIvMTQ1NzkzMDg1NVJDMjE4MjAyNkEwMDE3LnBkZg==
RC2182025A0016,,,https://cbi.gov.in/download/L2Fzc2V0cy9maWxlcy9maXIvMjAxMjA2MzYzUkMyMTgyMDI2QTAwMTYucGRm
RC0312026A0009,,,https://cbi.gov.in/download/L2Fzc2V0cy9maWxlcy9maXIvMTUxMzczMTI3NlJDMDMxMjAyNkEwMDA5LnBkZg==
RC0062026A0027,,,https://cbi.gov.in/download/L2Fzc2V0cy9maWxlcy9maXIvMjk3MjEzMjE2UkMwMDYyMDI2QTAwMjcucGRm
RC0962026A0011,,,https://cbi.gov.in/download/L2Fzc2V0cy9maWxlcy9maXIvMTI2ODExNzM3NFJDMDk2MjAyNkEwMDExLnBkZg==
RC0262026A0019,,,https://cbi.gov.in/download/L2Fzc2V0cy9maWxlcy9maXIvMjMzNTYyOTNGSVIgMTkoQSkyMDI2IFBPUlRFTC5wZGY=
RC0252026A0008,,,https://cbi.gov.in/download/L2Fzc2V0cy9maWxlcy9maXIvMTUxMjIzNjY4NkZJUiBpbiBSQzA4KEEpMjYtRC5wZGY=
RC0082026A0016,,,https://cbi.gov.in/download/L2Fzc2V0cy9maWxlcy9maXIvMTYzOTAzMTkxMVJDMDA4MjAyNkEwMDE2XzAwMDEucGRm
RC2312026S0013,,,https://cbi.gov.in/download/L2Fzc2V0cy9maWxlcy9maXIvMTU0NDgzMTcwOFJDMjMxMjAyNlMwMDEzLnBkZg==
RC2192026E0018,,,https://cbi.gov.in/download/L2Fzc2V0cy9maWxlcy9maXIvNDE4Mjc4MTIxUkMyMTkyMDI2RTAwMTgucGRm
RC2192026E0017,,,https://cbi.gov.in/download/L2Fzc2V0cy9maWxlcy9maXIvMTc4NTIzMTc5MlJDMjE5MjAyNkUwMDE3LnBkZg==
RC2192026E0016,,,https://cbi.gov.in/download/L2Fzc2V0cy9maWxlcy9maXIvMTMzNzkwMzM3MVJDMjE5MjAyNkUwMDE2LnBkZg==
RC2192026E0015,,,https://cbi.gov.in/download/L2Fzc2V0cy9maWxlcy9maXIvMTg1MDE2NTc5OVJDMjE5MjAyNkUwMDE1LnBkZg==
RC2192026E0014,,,https://cbi.gov.in/download/L2Fzc2V0cy9maWxlcy9maXIvNDc1ODU1MzA0UkMyMTkyMDI2RTAwMTQucGRm
RC0232026A0017,,,https://cbi.gov.in/download/L2Fzc2V0cy9maWxlcy9maXIvNjIzMTI0NTJSQzAyMzIwMjZBMDAxNy5wZGY=
RC0102026A0006,,,https://cbi.gov.in/download/L2Fzc2V0cy9maWxlcy9maXIvMjEwNjk2ODc0N0ZJUiAyLnBkZg==
RC2312026S0012,,,https://cbi.gov.in/download/L2Fzc2V0cy9maWxlcy9maXIvNjAzNjI3NzY1UkMyMzEyMDI2UzAwMTIucGRm
RC2182026A0015,,,https://cbi.gov.in/download/L2Fzc2V0cy9maWxlcy9maXIvMTQ0ODY4MjM1MlJDMjE4MjAyNkEwMDE1LnBkZg==
RC2162026A0009,,,https://cbi.gov.in/download/L2Fzc2V0cy9maWxlcy9maXIvMTk4MTgyMTc2MVJDMjE2MjAyNkEwMDA5LnBkZg==
RC0032026A0058,,,https://cbi.gov.in/download/L2Fzc2V0cy9maWxlcy9maXIvMTkwMTY3NzYyMlJDMDAzMjAyNkEwMDU4LnBkZg==
RC0502026S0005,,,https://cbi.gov.in/download/L2Fzc2V0cy9maWxlcy9maXIvMTczMDI1NjI2OWZpXzAwMDEucGRm
RC0072026S0007,,,https://cbi.gov.in/download/L2Fzc2V0cy9maWxlcy9maXIvMTk3NzE4Nzc5N1JDMDA3MjAyNlMwMDA3X0Zpcl9WZXIyLnBkZg==
RC0242026S0011,,,https://cbi.gov.in/download/L2Fzc2V0cy9maWxlcy9maXIvMTc1OTU1NTY5N1JDMDI0MjAyNlMwMDExLnBkZg==
RC0742026E0007,,,https://cbi.gov.in/download/L2Fzc2V0cy9maWxlcy9maXIvMTUwMTUxODg2MEZJUiBSQyAwNzQyMDI2RTAwMDcucGRm
RC0482026S0005,,,https://cbi.gov.in/download/L2Fzc2V0cy9maWxlcy9maXIvMTkwMTA5MDA1OVJDMDQ4MjAyNlMwMDA1LnBkZg==
RC0332026E0005,,,https://cbi.gov.in/download/L2Fzc2V0cy9maWxlcy9maXIvMTMxNzkyODI4M0ZJUiBTY2FubmVkIGNvcHlfMV9vY3JfZW5hYmxlZC5wZGY=
RC0322026A0014,,,https://cbi.gov.in/download/L2Fzc2V0cy9maWxlcy9maXIvMTM4OTk1OTM5M0ZJUiBSQyAxNCAyMDI2LnBkZg==
RC0062026A0026,,,https://cbi.gov.in/download/L2Fzc2V0cy9maWxlcy9maXIvNzQzMjAxODczUkMwMDYyMDI2QTAwMjYucGRm
RC2182026A0014,,,https://cbi.gov.in/download/L2Fzc2V0cy9maWxlcy9maXIvMTg2MTUyMzU0M1JDMjE4MjAyNkEwMDE0LnBkZg==
RC0082026A0015,,,https://cbi.gov.in/download/L2Fzc2V0cy9maWxlcy9maXIvMTI3MzI5MTI5OVJDMDA4MjAyNkEwMDE1LnBkZg==
RC0052026A0022,,,https://cbi.gov.in/download/L2Fzc2V0cy9maWxlcy9maXIvMjE4MDM5MjIzUkMwMDUyMDI2QTAwMjIucGRm
RC0262026A0018,,,https://cbi.gov.in/download/L2Fzc2V0cy9maWxlcy9maXIvMjA1OTQ3MTczMFJDMDI2MjAyNkEwMDE4LnBkZg==
RC0242026A0010,,,https://cbi.gov.in/download/L2Fzc2V0cy9maWxlcy9maXIvOTUzNDUzMjk1UkMwMjQyMDI2QTAwMTAucGRm
RC0292026A0006,,,https://cbi.gov.in/download/L2Fzc2V0cy9maWxlcy9maXIvMTgwMjc5NzU4M0ZJUiBpbiBSQzAyOTIwMjZBMDAwNi5wZGY=
RC0962026A0010,,,https://cbi.gov.in/download/L2Fzc2V0cy9maWxlcy9maXIvNDI3MDI0MjcwUkMwOTYyMDI2QTAwMTAucGRm
RC0322026A0013,,,https://cbi.gov.in/download/L2Fzc2V0cy9maWxlcy9maXIvMTgzNzg1MDE1NUZJUi0gUkMgMTMgMjAyNiBVcGxvYWQucGRm
RC0262026A0017,,,https://cbi.gov.in/download/L2Fzc2V0cy9maWxlcy9maXIvNzA4ODU1NjgwUkMwMjYyMDI2QTAwMTcgUG9ydGFsMDAxLnBkZg==
RC0032026A0057,,,https://cbi.gov.in/download/L2Fzc2V0cy9maWxlcy9maXIvMjAwNDc3MTk5MFJDMDAzMjAyNkEwMDU3LnBkZg==
RC2162026A0008,,,https://cbi.gov.in/download/L2Fzc2V0cy9maWxlcy9maXIvMjkwNDY2ODA0UkMyMTYyMDI2QTAwMDgucGRm
RC2202026E0011,,,https://cbi.gov.in/download/L2Fzc2V0cy9maWxlcy9maXIvNDMwNzgyMDY1RklSLTExLTIwMjYucGRm
RC0732026E0015,,,https://cbi.gov.in/download/L2Fzc2V0cy9maWxlcy9maXIvMTIzOTQyMTU3M1JDMDczMjAyNkUwMDE1LW91dHB1dC5wZGY=
RC0362026A0018,,,https://cbi.gov.in/download/L2Fzc2V0cy9maWxlcy9maXIvODUyNjQ0NDk0UkMwMzYyMDI2QTAwMTgucGRm
RC0362026A0017,,,https://cbi.gov.in/download/L2Fzc2V0cy9maWxlcy9maXIvMTI5NTE1MzgxMFJDMDM2MjAyNkEwMDE3LnBkZg==
RC21620260007,,,https://cbi.gov.in/download/L2Fzc2V0cy9maWxlcy9maXIvMTAxNDA5MTMxUkMyMTYyMDI2QTAwMDcucGRm
RC0052026A0021,,,https://cbi.gov.in/download/L2Fzc2V0cy9maWxlcy9maXIvNDIxNjEzOTE0UkMwMDUyMDI2QTAwMjEucGRm
RC0362026A0016,,,https://cbi.gov.in/download/L2Fzc2V0cy9maWxlcy9maXIvMTczMTk3Mzg4OFJDMDM2MjAyNkEwMDE2LnBkZg==
RC0152026A0007,,,https://cbi.gov.in/download/L2Fzc2V0cy9maWxlcy9maXIvMTUyMDkwODE0NkZJUiBvZiBSQyAwNyBBIDIwMjYtIEJCU1IucGRm
RC0032026A0056,,,https://cbi.gov.in/download/L2Fzc2V0cy9maWxlcy9maXIvNDIyNTg1Nzc2UkMwMDMyMDI2QTAwNTYucGRm
RC0362026A0015,,,https://cbi.gov.in/download/L2Fzc2V0cy9maWxlcy9maXIvMTA4NTAzMDM1MVJDMDM2MjAyNkEwMDE1LnBkZg==
