POLICE STATION NAME,PART 1 TO 5 CRIMES,PART 6 CRIMES,PROHIBITION CASES ,MISSING DETECT  PERSONS  BELOW 18,MISSING DETECT PERSONS ABOVE 18,ACCIDENTAL DEATHS,UNDETECTED CRIMES,CRIME PENDENCY,ITTSO (REGISTERED FIR),ITTSO (CHARGESHEET COMPL WITHIN 60 DAYS),SUMMONS PERCENTAGE,BW PERCENTAGE,NBW PERCENTAGE,CONVICTION PERCENTAGE,JMFC SESSIONS DISPOSAL,PREVENTIVE SECTIONS,DIAL112 RESPONSETIME,APPLICATION PENDENCY,OFFLINE PENDING CHARACTOR VERIFICATION,ONLINE PENDING CHARACTER VERIFICATION,PENDING PASSPORT VERIFICATION,ESAKSHYA UPLOADS %
AKOT CITY POLICE STATION,162,431,119,6,52,36,28,264,5,2,96,92,86,78.79,165,744,4.03,3,0,0,0,87.09
AKOT FILE POLICE STATION,207,414,116,7,57,53,12,458,14,7,73,89,72,33.92,227,714,6.21,1,0,1,0,89.58
AKOT RURAL POLICE STATION,108,493,199,5,44,59,9,32,8,6,91,90,82,92.06,189,1320,4.45,0,0,0,0,93.33
BALAPUR POLICE STATION,276,376,147,10,67,78,52,223,15,11,81,75,68,20.08,772,425,6.31,0,1,1,0,73.63
BARSHITAKLI POLICE STATION,223,335,162,6,56,61,34,157,8,6,91,56,16,43.89,360,701,6.41,0,5,11,0,73.62
BORGAON MANJU POLICE STATION,185,277,97,6,40,86,34,145,14,11,90,92,88,27.02,248,625,3.59,4,1,1,0,97.98
CHANNI POLICE STATION,105,264,149,3,27,44,13,99,3,1,80,65,62,19.82,222,244,5.4,1,0,2,0,93.62
CITY KOTWALI POLICE STATION ,139,237,18,7,24,35,40,91,5,4,70,69,36,50.51,196,275,5.49,2,0,0,0,86.89
CIVIL LINE POLICE STATION ,279,257,37,10,103,69,62,211,10,10,65,53,35,38.61,259,374,6.13,6,1,9,1,91.8
DABKIROAD POLICE STATION ,154,287,55,6,45,38,14,95,8,5,90,75,69,61.58,190,621,6.29,0,0,35,0,95.47
DAHIHANDA POLICE STATION,110,329,116,5,34,57,14,57,13,9,91,86,58,79.8,203,379,6.49,0,0,4,0,81.9
HIWARKHED POLICE STATION ,119,291,87,6,38,39,9,104,2,1,91,82,68,39.76,249,732,7.04,1,1,0,0,89.75
KHADAN POLICE STATION,423,706,195,15,91,84,75,477,19,11,79,75,58,41.73,381,1266,7.1,13,4,0,0,86.51
MIDC POLICE STATION,117,288,118,12,21,45,13,99,3,2,88,90,77,21.24,259,453,6.3,0,0,10,1,91.87
MANA POLICE STATION,61,312,136,1,24,35,7,65,1,1,92,82,42,41.38,319,216,5.17,0,0,0,0,98.5
MURTIZAPUR CITY POLICE STATION ,181,411,76,7,45,45,37,182,6,4,95,93,86,63.48,356,583,5.27,0,3,0,0,96.09
MURTIZAPUR RURAL POLICE STATION,96,316,138,3,32,46,13,52,2,1,92,99,88,58.94,246,544,5.1,0,2,0,0,94.25
OLD CITY POLICE STATION,327,500,86,5,68,45,37,154,11,10,80,86,66,45.56,180,716,6.09,2,0,46,0,96.68
PATUR POLICE STATION ,172,210,101,4,36,44,32,156,4,1,87,82,67,31.82,286,247,6.22,1,1,7,3,68.06
PINJAR POLICE STATION ,85,291,121,2,45,36,8,111,8,6,80,74,95,48.33,300,264,4.58,1,3,0,0,85
TELHARA PS ,169,221,101,3,35,43,24,82,7,3,91,84,69,25.97,308,487,5.47,0,0,0,0,93.98
RAMDASPETH POLICE STATION,173,208,51,6,37,50,37,139,10,7,78,55,54,15.98,194,853,7.05,1,2,0,0,82.22
URAL PS ,123,260,109,5,36,43,18,123,10,9,87,90,64,27.82,266,494,6.37,0,0,8,0,92.44
CYBER POLICE STATION,14,NA,NA,NA,NA,NA,8,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
