Sl. No.,Cause,Number of Cases - 2022,Number of Cases - 2023,Number of Cases - Percentage Variation,Persons Injured-2023 - Male,Persons Injured-2023 - Female,Persons Injured-2023 - Transgender,Persons Injured-2023 - Total,Persons Died-2023 - Male,Persons Died-2023 - Female,Persons Died-2023 - Transgender,Persons Died-2023 - Total,Percentage Share in Deaths
1,Fire in School Buildings,2,6,200,0,0,0,0,4,1,0,5,0.1
2,Fire in Commercial Buildings,241,278,15.4,11,6,0,17,131,110,0,241,3.5
3,Fire in Residential/Dwelling Buildings,4028,3811,-5.4,100,62,0,162,1789,1948,1,3738,54.2
4,Fire in Government Buildings,42,19,-54.8,0,0,0,0,6,1,0,7,0.1
5,Fire in the Mines,2,6,200,0,0,0,0,6,0,0,6,0.1
6,Fire in Factory Manufacturing Combustible Materials including Cracker/Match Box Factories,60,52,-13.3,33,22,0,55,59,45,0,104,1.5
7,Fire in the Factories (other than Serial - 6),56,77,37.5,24,0,0,24,66,9,0,75,1.1
8,Accidental Fire in Train(s),1,0,-100,0,0,0,0,0,0,0,0,0
9,Accidental Fire in Vehicles (Automobiles) (Total),131,171,30.5,10,0,0,10,95,51,0,146,2.1
9.1,Passenger Vehicle (e.g. Bus/Taxi/Auto/etc.),39,41,5.1,1,0,0,1,22,18,0,40,0.6
9.2,Private Vehicle,76,84,10.5,8,0,0,8,44,18,0,62,0.9
9.3,Goods Carriers,16,46,187.5,1,0,0,1,29,15,0,44,0.6
10,Others,3003,2634,-12.3,8,8,0,16,1424,1145,0,2569,37.3
Total,Total,7566,7054,-6.8,186,98,0,284,3580,3310,1,6891,100
