Sl. No.,Means/Mode,Male,Female,Trans-gender,Total,Percentage Share
1,By Consuming Sleeping Pills,397,246,0,643,0.4
2,By Drowning,4904,2170,1,7075,4.1
3,By Fire/Self Immolation,1292,1299,0,2591,1.5
4,By Firearms,266,77,0,343,0.2
5,By Hanging,76418,28005,31,104454,60.9
6,By Poison (Total),31334,11448,5,42787,25
6.1,By Consuming Insecticides,19142,6626,2,25770,15
6.2,By Consuming Other Poison,12192,4822,3,17017,9.9
7,By Self inflicting Injury,465,172,0,637,0.4
8,Jumping (Total),1192,493,0,1685,1
8.1,From Building,574,268,0,842,0.5
8.2,From Other Sites,119,26,0,145,0.1
8.3,By Jumping off Moving Trains/Vehicles,499,199,0,698,0.4
9,By Coming under Running Vehicles/Trains,4217,584,2,4803,2.8
10,By Touching Electric Wire,366,85,0,451,0.3
11,By Other Means,3879,2069,1,5949,3.5
Total,Total,124730,46648,40,171418,100
