Sl. No.,Cause,2022 (Total),2023 - Male,2023 - Female,2023 - Transgender,2023 - Total,Percentage Variation,Percentage Share of Suicides during 2023
1,Bankruptcy or Indebtedness,7034,6012,543,1,6556,-6.8,3.8
2,Marriage Related Issues (Total),8164,4863,4180,2,9045,10.8,5.3
2.1,Non Settlement of Marriage,2800,1817,1073,0,2890,3.2,1.7
2.2,Dowry Related Issues,1774,174,1413,0,1587,-10.5,0.9
2.3,Extra Marital Affairs,1417,1064,741,0,1805,27.4,1.1
2.4,Divorce,582,375,233,0,608,4.5,0.4
2.5,Others,1591,1433,720,2,2155,35.4,1.3
3,Failure in Examination,2095,1383,1032,0,2415,15.3,1.4
4,Impotency/Infertility,374,202,250,0,452,20.9,0.3
5,Family Problems,54127,38612,16031,10,54653,1,31.9
6,Illness (Total),31484,22987,9501,15,32503,3.2,19
6.1,AIDS/STD,156,101,28,2,131,-16,0.1
6.2,Cancer,1251,1062,363,0,1425,13.9,0.8
6.3,Paralysis,1046,786,213,0,999,-4.5,0.6
6.4,Insanity/ Mental Illness,14600,9788,4183,7,13978,-4.3,8.2
6.5,Other Prolonged Illness,14431,11250,4714,6,15970,10.7,9.3
7,Death of Dear Person,2075,1448,757,0,2205,6.3,1.3
8,Drug Abuse/Alcoholic Addiction,11634,11739,280,0,12019,3.3,7
9,Fall in Social Reputation,884,659,222,2,883,-0.1,0.5
10,Ideological Causes/Hero Worshipping,174,57,31,0,88,-49.4,0.1
11,Love Affairs,7629,4806,3203,3,8012,5,4.7
12,Poverty,1452,1059,225,0,1284,-11.6,0.7
13,Unemployment,3170,2638,425,0,3063,-3.4,1.8
14,Property Dispute,1829,1397,254,0,1651,-9.7,1
15,Suspected/ Illicit Relation (Other than Sl. No. 2.3),882,420,256,0,676,-23.4,0.4
16,Illegitimate Pregnancy (Other than Sl. No. 2.3),30,0,19,0,19,-36.7,0
17,"Physical Abuse (Rape, etc.)",38,0,49,0,49,28.9,0
18,Professional/Career Problem,2083,1651,277,0,1928,-7.4,1.1
19,Causes Not Known,17750,12751,4392,3,17146,-3.4,10
20,Other Causes,18016,12046,4721,4,16771,-6.9,9.8
Total,Total,170924,124730,46648,40,171418,0.3,100
