Sl. No.,Profession,Male,Female,Transgender,Total,Percentage Share
1,House wife,NA,24048,0,24048,14
2,Professionals/Salaried Persons (Total),14505,2011,1,16517,9.6
2.1,Government Servants (Total),1647,268,0,1915,1.1
2.1.1,Central/UT Government Servants,356,45,0,401,0.2
2.1.2,State Government Servants,962,147,0,1109,0.6
2.1.3,Other Statutory Body/etc.,329,76,0,405,0.2
2.2,Private Sector Enterprises,10868,1406,1,12275,7.2
2.3,Public Sector Undertaking,1990,337,0,2327,1.4
3,Students,7330,6559,3,13892,8.1
4,Unemployed Persons,11775,2446,13,14234,8.3
5,Self-employed Persons (Total),18856,1290,2,20148,11.8
5.1,Business (Total),11650,663,0,12313,7.2
5.1.1,Vendor,4946,327,0,5273,3.1
5.1.2,Tradesmen,2992,113,0,3105,1.8
5.1.3,Other Business,3712,223,0,3935,2.3
5.2,Other Self-employed Persons,7206,627,2,7835,4.6
6,Persons Engaged in Farming Sector,9986,800,0,10786,6.3
6.1,Farmers/Cultivators,4553,137,0,4690,2.7
6.1.1,who cultivate their own land with or without assistance of agricultural labourers,3804,121,0,3925,2.3
6.1.2,who cultivate on leased land/work on lease/on others land (known by different nomenclature) with or without assistance of agricultural labourers,749,16,0,765,0.4
6.2,Agricultural Labourers,5433,663,0,6096,3.6
7,Daily Wage Earner,42795,4365,10,47170,27.5
8,Retired Persons,1008,82,0,1090,0.6
9,Other Persons,18475,5047,11,23533,13.7
Total,Total,124730,46648,40,171418,100
