Region,Country of Nationality,Number of Arrivals - 2011,Number of Arrivals - 2012,Number of Arrivals - 2013,% Share - 2011,% Share - 2012,% Share - 2013,% Change - 2012,% Change - 2013
North Americas,Canada,259017,256021,255222,4.11,3.89,3.66,-1.2,-0.3
North Americas,U.S.A,980688,1039947,1085309,15.54,15.81,15.58,6,4.4
North Americas,Total,1239705,1295968,1340531,19.65,19.7,19.24,4.5,3.4
Central and South America,Argentina,9391,9831,10325,0.15,0.15,0.15,4.7,5
Central and South America,Brazil,17268,18440,18551,0.27,0.28,0.27,6.8,0.6
Central and South America,Mexico,10876,11254,13074,0.17,0.17,0.19,3.5,16.2
Central and South America,Others,23453,24174,26486,0.37,0.37,0.38,3.1,9.6
Central and South America,Total,60988,63699,68436,0.97,0.97,0.98,4.4,7.4
Western Europe,Austria,36483,38585,36465,0.58,0.59,0.52,5.8,-5.5
Western Europe,Belgium,40478,42604,38091,0.64,0.65,0.55,5.3,-10.6
Western Europe,Denmark,34683,33084,30842,0.55,0.5,0.44,-4.6,-6.8
Western Europe,Finland,23730,22416,21212,0.38,0.34,0.3,-5.5,-5.4
Western Europe,France,231423,240674,248379,3.67,3.66,3.56,4,3.2
Western Europe,Germany,240235,254783,252003,3.81,3.87,3.62,6.1,-1.1
Western Europe,Greece,7253,7493,7983,0.11,0.11,0.11,3.3,6.5
Western Europe,Ireland,22089,24546,27174,0.35,0.37,0.39,11.1,10.7
Western Europe,Italy,100889,98743,93951,1.6,1.5,1.35,-2.1,-4.9
Western Europe,Netherlands,75153,74800,69547,1.19,1.14,1,-0.5,-7
Western Europe,Norway,24578,23569,21462,0.39,0.36,0.31,-4.1,-8.9
Western Europe,Portugal,24061,24670,29612,0.38,0.38,0.42,2.5,20
Western Europe,Spain,71405,67044,62079,1.13,1.02,0.89,-6.1,-7.4
Western Europe,Sweden,48690,51058,48826,0.77,0.78,0.7,4.9,-4.4
Western Europe,Switzerland,46332,48388,48821,0.73,0.74,0.7,4.4,0.9
Western Europe,U.K.,798249,788170,809444,12.65,11.98,11.62,-1.3,2.7
Western Europe,Others,12964,12439,9975,0.21,0.19,0.14,-4,-19.8
Western Europe,Total,1838695,1853066,1855866,29.14,28.17,26.64,0.8,0.2
Eastern Europe,Czech Rep.,11256,11129,10121,0.18,0.17,0.15,-1.1,-9.1
Eastern Europe,Hungary,6900,6507,6614,0.11,0.1,0.09,-5.7,1.6
Eastern Europe,Kazakhstan,9810,11653,14680,0.16,0.18,0.21,18.8,26
Eastern Europe,Poland,28499,25030,23785,0.45,0.38,0.34,-12.2,-5
Eastern Europe,Russian Fed.,144312,177526,259120,2.29,2.7,3.72,23,46
