SL,Cities,Murder,Infanticide,Rape,Assault on women with intent to outrage her Modesty*,Insult to the Modesty of Women (Girls Children )*,Kidnappin g & Abduction,Foeticide,Abetment of Suicide of child,Exposu re and Aband onment,Procuration of minor girls,Import ation of Girls from Foreig n Country*,Buying of minors for prostitution#,"Prohibition of Child Marriage Act, 2006","Transplanta tion of Human Organs Act, 1994*","Child Labour (Prohibit ion & Regulation) Act, 1986*","Immoral Traffic (Prevention ) Act, 1956*","Juvenile Justice (Care and Protection of Children) Act, 2000*","Protection of Children from Sexual Offences Act, 2012*",Attempt to commit Murder*,Unna tural Offences*,Other Crimes committed against children,Total Crimes against Children
1,Ahmedabad,100,NA,NA,NA,NA,22.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,0,0,0,16.7
2,Bengaluru,0,NA,0,NA,NA,6.7,NA,NA,NA,6.7,NA,NA,NA,NA,NA,NA,0,15.4,NA,NA,50,12.5
3,Chennai,50,NA,63.6,NA,NA,53.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,NA,60,58.6
4,Delhi (City),70,NA,36.5,37.5,9.1,29.5,100,NA,NA,NA,NA,NA,NA,NA,20,NA,75,20,NA,66.7,65.9,38
5,Hyderabad,0,NA,36.4,100,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,NA,0,22.2
6,Jaipur,NA,NA,0,0,NA,100,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66.7,53.8
7,Kolkata,50,NA,NA,25,50,0,NA,NA,NA,33.3,NA,NA,NA,NA,NA,NA,0,50,NA,NA,33.3,25.8
8,Mumbai,NA,0,29,40,100,9.5,NA,0,0,0,NA,NA,NA,NA,NA,NA,100,0,NA,NA,67.5,39.6
9,Pune,NA,NA,0,16.7,NA,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,11.1
10,Surat,NA,NA,100,0,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75
