Sl. No.,Crime Heads,2013,2014
1,Rape,33707,36735
2,Attempt to commit Rape*,NA,4234
3,Kidnapping & Abduction of Women,51881,57311
4,Dowry Deaths,8083,8455
5,Assault on Women with intent to outrage her Modesty,70739,82235
6,Insult to the Modesty of Women,12589,9735
7,Cruelty by Husband or his Relatives,118866,122877
8,Importation of Girls from Foreign Country,31,13
9,Abetment of Suicides of women*,NA,3734
10,"Dowry Prohibition Act, 1961",10709,10050
11,"Indecent Representation of Women (Prohibition) Act, 1986",362,47
12,Commission of Sati (Prevention) Act 1987,0,0
13,"Protection of Women from Domestic Violence Act, 2005*",NA,426
14,Immoral Traffic (Prevention) Act (Women Cases only),2579,2070
15,Total Crimes against Women,309546,337922
