SI. No.,State/UT,Rape,Attempt to Commit Rape,Kidnapping & Abduction Women,Dowry Deaths,Assault on Women with intent to outrage her Modestry,Insult to the Modesty of Women,Cruelty by Husband or his Relatives,Importation of Girls from Foreign Country,Dowry Prohibition Act,Indecent Representation of Women (Prohibition) Act,Protection of Women from Domestic Violence Act,Immoral Traffic (P) Act,The comission of Sati (Prevention) Act,Total,Figures are upto the month of
1,Andhra Pradesh,915,205,465,174,4624,2020,5621,0,712,14,0,166,0,14916,December
2,Arunachal Pradesh,78,13,82,0,103,7,71,0,0,0,0,0,0,354,December
3,Assam,1238,173,2579,102,2022,42,5421,5,29,3,0,40,0,11654,August
4,Bihar,1038,222,2219,1043,1056,25,3136,7,1536,78,41,24,0,10425,December
5,Chhattisgarh,1466,21,1472,88,1849,74,618,0,8,2,2,2,0,5602,December
6,Goa,78,0,67,0,167,41,24,0,0,0,0,19,0,396,December
7,Gujarat,790,3,1571,10,1236,39,4009,16,0,0,0,27,0,7701,December
8,Haryana,1026,115,1157,232,1922,72,3530,32,11,0,11,49,0,8157,December
9,Himachal Pradesh,227,3,252,1,430,54,227,0,0,0,15,4,0,1213,December
10,Jammu & Kashmir,269,0,1038,4,1339,215,396,0,0,0,0,0,0,3261,December
11,Jharkhand,1102,178,277,262,402,17,1779,54,1313,6,6,53,0,5449,December
12,Karnataka,1149,19,687,311,4787,153,2816,23,1516,1,0,361,0,11823,December
13,Kerala,1237,32,177,7,3993,265,3665,0,4,4,133,138,0,9655,December
14,Madhya Pradesh,4138,47,4987,671,8916,318,5113,15,47,3,86,14,0,24355,December
15,Maharashtra,3681,12,4864,262,11696,998,7435,22,39,1,1,351,0,29362,December
16,Manipur,43,4,94,0,84,2,39,0,0,0,0,0,0,266,December
17,Meghalaya,99,25,17,1,97,21,43,0,0,0,0,2,0,305,December
18,Mizoram,59,3,3,0,68,5,9,0,0,0,0,0,0,147,December
19,Nagaland,20,3,0,0,0,0,0,0,0,0,0,0,0,23,December
20,Odisha,1954,136,2094,570,5853,389,1698,4,3567,1,10,26,0,16302,December
21,Punjab,776,113,1039,72,1057,30,1408,0,7,0,2,73,0,4577,December
22,Rajasthan,3644,497,4167,461,4813,16,14383,0,7,7,10,86,0,28091,December
23,Sikkim,35,1,3,1,30,1,2,0,0,0,0,1,0,74,December
24,Tamil Nadu,406,26,1064,58,1100,179,1885,0,336,7,4,508,0,5573,December
25,Telangana,991,52,376,246,3742,1388,7413,2,153,1,3,190,0,14557,December
26,Tripura,213,38,120,28,352,6,501,0,0,0,0,2,0,1260,December
27,Uttar Pradesh,2977,130,9269,2250,7580,65,9558,12,1273,7,16,26,0,33163,December
28,Uttarakhand,281,4,358,54,315,12,407,2,4,0,0,13,0,1450,December
29,West Bengal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Total (State),Total (State),29930,2075,40498,6908,69633,6454,81207,194,10562,135,340,2175,0,250111,NA
30,A & N Islands,36,0,20,0,58,6,13,0,0,0,0,0,0,133,December
31,Chandigarh,66,7,170,11,70,28,108,0,0,0,0,0,0,460,December
32,D & N Haveli,14,0,0,1,5,0,2,0,0,0,0,0,0,22,December
33,Daman & Diu,7,0,2,0,6,1,2,0,0,0,0,0,0,18,December
34,Delhi,2020,41,4424,110,4939,1360,3216,4,19,0,1,3,0,16137,December
35,Lakshadweep,0,0,0,0,6,1,2,0,0,0,0,0,0,9,December
36,Puducherry,4,4,4,1,17,11,3,0,9,7,0,0,0,60,December
Total (UTs),Total (UTs),2147,52,4620,123,5101,1407,3346,4,28,7,1,3,0,16839,NA
Total (All India),Total (All India),32077,2127,45118,7031,74734,7861,84553,198,10590,142,341,2178,0,266950,NA
